City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,libreville,0.3925,9.4537,25.01,94,20,2.06,GA,1715222808
84,badiyah,22.45,58.8,31.21,54,0,3.82,OM,1715222808
85,edinburgh of the seven seas,-37.0676,-12.3116,14.42,64,100,11.66,SH,1715222808
86,freeport,40.6576,-73.5832,26.2,51,0,5.14,US,1715222673
87,alice springs,-23.7,133.8833,22.75,43,0,5.66,AU,1715222809
88,san antonio de pale,-1.4014,5.6325,26.87,88,13,4.9,GQ,1715222809
89,huilong,31.8111,121.655,19.18,52,100,4.59,CN,1715222809
90,mao,39.8885,4.2658,16.31,82,0,4.12,ES,1715222809
91,tlanchinol,20.9833,-98.65,21.2,67,100,6.85,MX,1715222593
92,coquimbo,-29.9533,-71.3436,12.85,87,0,2.06,CL,1715222633
93,hermanus,-34.4187,19.2345,13.28,80,0,1.21,ZA,1715222810
94,talnakh,69.4865,88.3972,-4.9,77,42,0.37,RU,1715222810
95,cannonvale,-20.2833,148.7,25.33,69,99,7.51,AU,1715222810
96,margaret river,-33.95,115.0667,20.97,39,100,7.45,AU,1715222747
97,port elizabeth,-33.918,25.5701,17.95,82,75,3.09,ZA,1715222810
98,ribeira grande,38.5167,-28.7,16.54,87,85,1.34,PT,1715222521
99,hithadhoo,-0.6,73.0833,29.01,77,95,5.94,MV,1715222545
100,iqaluit,63.7506,-68.5145,-4.15,86,75,5.66,CA,1715222811
101,papatowai,-46.5619,169.4708,8.47,57,25,4.23,NZ,1715222762
102,tukrah,32.5341,20.5791,18.3,59,28,4.58,LY,1715222811
103,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,67,75,9.0,RU,1715222550
104,lompoc,34.6391,-120.4579,17.66,77,0,4.12,US,1715222811
105,qaqortoq,60.7167,-46.0333,0.69,86,100,1.9,GL,1715222785
106,san patricio,28.017,-97.5169,27.97,88,92,5.02,US,1715222559
107,west island,-12.1568,96.8225,27.99,74,40,6.69,CC,1715222812
108,lebu,-37.6167,-73.65,7.88,83,21,1.07,CL,1715222767
109,manismata,-2.4667,111.0333,31.48,60,100,1.62,ID,1715222812
110,hilo,19.7297,-155.09,25.05,82,100,4.12,US,1715222812
111,chifeng,42.2683,118.9636,20.34,19,55,4.07,CN,1715222813
112,broken hill,-31.95,141.4333,17.77,67,100,4.18,AU,1715222813
113,kruisfontein,-34.0033,24.7314,14.94,88,17,1.64,ZA,1715222813
114,fort bragg,35.139,-79.006,22.12,80,0,4.12,US,1715222667
115,shimoda,34.6667,138.95,13.2,81,100,6.31,JP,1715222618
116,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,1715222783
117,fuyuan,46.4333,127.0833,17.64,13,2,5.83,CN,1715222814
118,ndibene dahra,15.3338,-15.4766,24.74,42,0,4.42,SN,1715222814
119,durres,41.3231,19.4414,17.1,82,100,2.43,AL,1715222814
120,lycksele,64.5954,18.6735,0.93,86,100,1.54,SE,1715222815
121,ilulissat,69.2167,-51.1,-4.99,74,100,2.57,GL,1715222793
122,kingston,17.997,-76.7936,28.53,79,40,2.06,JM,1715222759
123,ormara,25.2088,64.6357,27.38,82,0,2.73,PK,1715222815
124,port mathurin,-19.6833,63.4167,25.55,69,97,10.7,MU,1715222815
125,lianzhou,24.7811,112.3825,22.21,90,100,0.63,CN,1715222815
126,klyuchi,52.2667,79.1667,18.29,45,30,4.76,RU,1715222816
127,arno,60.1167,18.6333,2.66,94,100,1.34,SE,1715222816
128,joao pinheiro,-17.7425,-46.1725,18.4,66,0,2.13,BR,1715222816
129,chegdomyn,51.1167,133.0167,7.84,38,100,6.54,RU,1715222816
130,pangody,65.85,74.4859,-6.75,91,99,4.86,RU,1715222717
131,christchurch,-43.5333,172.6333,10.3,69,20,3.6,NZ,1715222675
132,mo i rana,66.3128,14.1428,2.96,91,75,0.51,NO,1715222817
133,valenca do piaui,-6.4075,-41.7456,23.7,67,95,2.19,BR,1715222817
134,menaka,15.9182,2.4022,35.44,14,91,2.16,ML,1715222817
